i:3 dp[i]:153 
i:544 dp[i]:-7411675997268679287 
i:545 dp[i]:-7758684186542315999 
i:546 dp[i]:-6234565754436993535 
i:547 dp[i]:-7283239532199414759 
i:548 dp[i]:-1640918088459518279 
i:549 dp[i]:3887527906767317073 
i:550 dp[i]:373762359902655921 
i:551 dp[i]:17412498840146121 
i:552 dp[i]:-5467135407818669847 
i:553 dp[i]:-7104782597732447359 
i:554 dp[i]:6722026261710917217 
i:555 dp[i]:-5672747603711916423 
i:556 dp[i]:1361577834317323289 
i:557 dp[i]:3750116361669574577 
i:558 dp[i]:-8869480695112804335 
i:559 dp[i]:1919617530020807977 
i:560 dp[i]:825198077182115913 
i:561 dp[i]:-3745934259145640735 
i:562 dp[i]:-5451957083477761343 
i:563 dp[i]:-5873386854347031335 
i:564 dp[i]:-2101226730028933767 
i:565 dp[i]:-2495987319864206575 
i:566 dp[i]:-6896241682189197711 
i:567 dp[i]:716620414159068553 
i:568 dp[i]:-1503875896146795607 
i:569 dp[i]:-4333569307850841535 
i:570 dp[i]:6336328053104753441 
i:571 dp[i]:5013699600343340857 
i:572 dp[i]:404908227304080089 
i:573 dp[i]:1820748108120734321 
i:574 dp[i]:8492361455404673233 
i:575 dp[i]:3734181874007267817 
i:576 dp[i]:-5278246470464197879 
i:577 dp[i]:-6004979505274842207 
i:578 dp[i]:-5759627132654872703 
i:579 dp[i]:7104187370464548249 
i:580 dp[i]:-4346046636136936391 
i:581 dp[i]:6242768943612698065 
i:582 dp[i]:4452386648698320689 
i:583 dp[i]:-2682208743475250615 
i:584 dp[i]:3990250690270942825 
i:585 dp[i]:-1631839620541904639 
i:586 dp[i]:878498976438826977 
i:587 dp[i]:-5387902027779917831 
i:588 dp[i]:-940468647693092455 
i:589 dp[i]:-492195059684178639 
i:590 dp[i]:-8277274835786593903 
i:591 dp[i]:-3495040569901416791 
i:592 dp[i]:3965077609039816137 
i:593 dp[i]:-8087490947707977119 
i:594 dp[i]:4951116798705802305 
i:595 dp[i]:-5099398058119889319 
i:596 dp[i]:-4381472003288839431 
i:597 dp[i]:4545706698068521105 
i:598 dp[i]:-8592730808376549391 
i:599 dp[i]:-7800238422073350391 
i:600 dp[i]:-7297921545776768727 
i:601 dp[i]:3279971743757451201 
i:602 dp[i]:6581388620744279201 
i:603 dp[i]:3451532809592465593 
i:604 dp[i]:2678409460413743193 
i:605 dp[i]:6547771686842064881 
i:606 dp[i]:-6240712485179180463 
i:607 dp[i]:-568322594388003991 
i:608 dp[i]:-3169613845964083063 
i:609 dp[i]:1614672221816946977 
i:610 dp[i]:5121353242868166913 
i:611 dp[i]:-1696001458018420967 
i:612 dp[i]:1845410061377886649 
i:613 dp[i]:3309814213880304465 
i:614 dp[i]:-1202637209625864015 
i:615 dp[i]:-3928078664082824247 
i:616 dp[i]:5061672905434917865 
i:617 dp[i]:7180842836173948545 
i:618 dp[i]:-31606818422627999 
i:619 dp[i]:2714967352267057529 
i:620 dp[i]:3747097020766328601 
i:621 dp[i]:7699009955834317489 
i:622 dp[i]:5385624335179610897 
i:623 dp[i]:1386821638760331305 
i:624 dp[i]:4097184377226693449 
i:625 dp[i]:-6471593637300973599 
i:626 dp[i]:-2550050314550880831 
i:627 dp[i]:2886525748269350873 
i:628 dp[i]:6002728483289364601 
i:629 dp[i]:4723941642274653713 
i:630 dp[i]:3090838109985415537 
i:631 dp[i]:9207812466892173449 
i:632 dp[i]:8853184011646602921 
i:633 dp[i]:6495261384628428097 
i:634 dp[i]:-7048692802833412575 
i:635 dp[i]:-6244510602417309127 
i:636 dp[i]:434075002034060761 
i:637 dp[i]:4906538683984364913 
i:638 dp[i]:-4152303706055095343 
i:639 dp[i]:3863954534051073257 
i:640 dp[i]:962471494687258121 
i:641 dp[i]:5080686167860620961 
i:642 dp[i]:7761672848866544257 
i:643 dp[i]:4329834346732591257 
i:644 dp[i]:-7999441664299227335 
i:645 dp[i]:184160000584173777 
i:646 dp[i]:-7662303546805061071 
i:647 dp[i]:-8720596162074440375 
i:648 dp[i]:8276295758061289833 
i:649 dp[i]:-5894876315198143487 
i:650 dp[i]:-5282750229118530847 
i:651 dp[i]:-9179089326104749319 
i:652 dp[i]:5808538827939968153 
i:653 dp[i]:-312790222004531151 
i:654 dp[i]:2603316173411986577 
i:655 dp[i]:7071638643654308265 
i:656 dp[i]:-923377525654884151 
i:657 dp[i]:-2781135417796387487 
i:658 dp[i]:-8398420457547837631 
i:659 dp[i]:-7023588319727337127 
i:660 dp[i]:-3999375989439339015 
i:661 dp[i]:-428159414442861679 
i:662 dp[i]:1225132304918536945 
i:663 dp[i]:-2223294417718330871 
i:664 dp[i]:730148231894402089 
i:665 dp[i]:2297113973511076545 
i:666 dp[i]:7424688309672581025 
i:667 dp[i]:6494052801004948409 
i:668 dp[i]:-4077670015920473255 
i:669 dp[i]:-904943626471150863 
i:670 dp[i]:-1414730994090762927 
i:671 dp[i]:2256306444341159529 
i:672 dp[i]:2377928318671616905 
i:673 dp[i]:3625573957965093921 
i:674 dp[i]:-6664333116353502207 
